n,avl_insert_ns,avl_search_ns,bentley_insert_ns,bentley_search_ns,speed_insert_ns,speed_search_ns
16000,9525200,862400,95250500,1727300
16100,9688800,909800,104364600,2701600
16200,15738300,910300,100009900,3253200
16300,9395700,915300,94506900,2797000
16400,9250300,916300,111883300,908800
16500,9352200,1157100,117487400,1586600
16600,10286500,1005900,116369300,1613400
16700,9779400,913500,112985800,1779100
16800,9833900,932200,111550200,1328700
16900,10986200,960900,127979800,1150100
17000,9765900,969700,107853800,1830600
17100,9945600,1073700,113695200,2219000
17200,16714900,1055400,108968800,1610800
17300,10195900,995000,119161800,2105900
17400,10425400,986700,115196300,2508500
17500,10559100,1020900,116476000,1874800
17600,10189000,1032000,130372400,1929100
17700,10270600,1014900,113647100,1706300
17800,10410100,1225200,120156800,1873400
17900,10091600,1293000,125262800,7158500
18000,10826400,1099200,120438800,1877100
18100,11610700,1034700,120138200,3099100
18200,11834200,1401200,123597000,2267200
18300,10588400,1662800,120924200,3007400
18400,10519100,1041900,117091900,2376400
18500,11132900,1034600,132058200,1742000
18600,10618200,1128000,132435100,1890200
18700,12211800,1076500,123138000,1773200
18800,11494800,1066600,138889600,2439200
18900,10668600,1091900,122344400,2287800
19000,15046000,1094100,132528100,3798800
19100,12445700,1183800,121887600,2480900
19200,11711700,1086800,131278400,1861700
19300,11575200,1119100,127338800,2874500
19400,12587800,2173600,129238000,2712300
19500,11676200,1125000,145952400,2311800
19600,11976900,1127100,164751200,3603700
19700,20069600,1145200,150981800,3156100
19800,12028800,1152300,134564000,2605800
19900,12444300,1284400,127389300,3497900
20000,14064400,1190500,137971400,2263400
20100,24861700,1706900,133573200,2788400
20200,12264300,1178300,135702800,3044300
20300,11953700,1202100,132442000,2835200
20400,12142100,1274700,134486700,3355600
20500,12697700,1170100,145821700,1836200
20600,12861600,1612800,130884800,2651700
20700,12374200,1176400,134880500,2730900
20800,13130900,1208800,134704700,1926900
20900,12144200,2215800,138930200,2715000
21000,13615200,1911600,145296400,2551100
21100,13662900,1854300,141905800,2893100
21200,12146500,1226500,139704600,2431200
21300,13913400,1536100,137387500,2880500
21400,12423800,1421200,139072900,3122400
21500,13972000,1262600,137604700,3849300
21600,13134100,1397700,141387800,2441000
21700,14333100,1253300,156236000,3009300
21800,13173900,1279600,166914900,3938600
21900,12750900,1301800,155249000,3696400
22000,12893400,1282100,148927400,3489400
22100,13252500,1352400,137481600,3526500
22200,14594000,2224500,137626900,3658100
22300,13912400,1378700,171199300,3507100
22400,16017500,1322300,156277400,2853600
22500,13496900,1343300,148262800,4103100
22600,14370700,2189500,160216500,2323600
22700,13265300,1417200,157123400,3046400
22800,13657000,1352300,150851100,2669600
22900,14396700,1404900,173274700,3284100
23000,14412900,1400600,168082800,3624600
23100,14614100,1451600,170626800,3408800
23200,21797700,2962100,161664500,3213800
23300,21152100,1418700,161971200,2831300
23400,13870800,1468500,184408400,3776400
23500,13946400,1419100,155002000,4135700
23600,14286600,1467700,153197100,3026800
23700,18403400,1412800,175103200,3280100
23800,14143500,1447000,170924500,4298900
23900,27179000,1445400,152537700,4201100
24000,14493800,1470100,169392100,3578000
24100,14650600,1592600,168886100,3463000
24200,24486000,1414300,150952800,3367300
24300,14890500,1622800,180234800,4544700
24400,14584200,1505800,158354600,3677800
24500,15932200,1446200,152096400,4430200
24600,16588700,1578700,164004900,2679700
24700,15214200,1459500,172960500,3770600
24800,14700300,1492600,168412800,2992200
24900,16028100,1488700,165217200,2745100
25000,16197200,1498800,178478300,3130400
25100,16645100,1484900,164360900,2714400
25200,15384400,1885900,171876000,3681600
25300,15409500,1684300,169988500,3938500
25400,16608400,1523000,174767300,3598700
25500,16502300,1518500,174151400,4333900
25600,15278500,1934100,171352100,1959600
25700,18055000,1604200,192105200,2927400
25800,26549500,1558200,176356500,3188400
25900,16153400,1624000,191752600,3682700
26000,17712500,1579400,193581400,3177500
26100,15527500,1542600,195598100,8241300
26200,17555800,3294900,180630600,3769000
26300,17507500,1571100,183285300,7049400
26400,15529000,2221100,176534700,3518200
26500,18698500,1577600,182254300,5612600
26600,16156400,1723400,198705000,4944900
26700,16712600,1649700,167948700,3424900
26800,16337800,1613700,192624300,3117700
26900,16518400,1669700,184160300,3332300
27000,16840500,1659600,183303000,4193600
27100,19335900,1613200,185259500,4750100
27200,17809200,3775900,194089300,3034700
27300,16886600,1676000,185550300,3711100
27400,17495900,1655300,179556700,3368300
27500,16718700,1650200,179432200,4529400
27600,16912100,1665200,195511000,4792600
27700,16870700,1711200,209674200,4059000
27800,18084800,1700200,181753500,3823600
27900,16894100,4654300,182064800,6894500
28000,18161700,1724100,186601800,4243700
28100,20972800,1817300,186813000,4486900
28200,17075900,1779000,179030500,3967000
28300,17519600,1726200,183608000,4729400
28400,18766000,1690300,189540700,6640500
28500,20584400,1705700,184177700,4823000
28600,18728100,2085900,183532200,5751300
28700,18601300,1863700,210546500,4811900
28800,17542900,1768900,197216100,6562800
28900,17346900,1888100,194503800,3959800
29000,21347600,3397900,200901200,3348800
29100,31164300,2927100,203498600,4755000
29200,18451800,2207300,197425500,3268700
29300,17551200,1761500,200964800,4615100
29400,18564300,2002600,211465200,4691300
29500,19466600,1824800,207819700,5231900
29600,24432800,1857600,211550500,4539100
29700,24862400,1861700,191736900,3180600
29800,19231400,1973600,213262300,4443800
29900,19987200,1906600,207063000,5105300
30000,19499000,1911800,216401900,4329300
30100,30659800,1945500,199541100,5704200
30200,25934200,5798500,224663600,6213400
30300,20582800,1955000,210138700,5707500
30400,24938700,6378000,213102400,4663000
30500,23993400,3246500,220515200,29068800
30600,19906200,1990600,225099200,6308900
30700,20385600,2117500,209760000,7132100
30800,21644700,1993500,215662600,3886300
30900,22526600,4168800,234127400,10459200
31000,22503700,2142000,246657100,4630700
31100,24410500,2263100,222784500,5965600
31200,20547400,2065200,223092900,5288800
31300,30031800,2029700,214620500,9279200
31400,20901300,2075300,214566500,5143000
31500,21887200,2049800,220920300,5690700
31600,20512800,2059500,232928500,5718300
31700,26387300,2097300,204932900,6585100
31800,20208800,2071100,227738900,13365600
31900,25056000,6024100,209647100,5547400
32000,25423600,2191900,226854300,4475800
32100,21286900,2225400,223020000,5449400
32200,29343900,2183200,247878600,5968600
32300,20633700,2111900,258900600,7977400
32400,27996200,3527100,233848900,6444100
32500,21333900,2114700,243282600,6901800
32600,32167700,2157900,231528200,6518000
